order_line_number,quantity, price , sale_total ,order_date,quarter,product_code,customer_name,deal_size
10278-10,29,90.86,2634.94,2004-08-06,3,S18_1889,Signal Gift Stores,Small
10287-8,44,82.39,3625.16,2004-08-30,3,S18_1889,"Vida Sport, Ltd",Medium
10300-1,41,92.4,3788.4,2003-10-04,4,S18_1889,"Blauer See Auto, Co.",Medium
10310-6,20,91.63,1832.6,2004-10-16,4,S18_1889,"Toms Spezialitten, Ltd",Small
10321-14,37,78.54,2905.98,2004-11-04,4,S18_1889,FunGiftIdeas.com,Small
10329-9,29,100,2954.81,2004-11-15,4,S18_1889,Land of Toys Inc.,Small
10342-1,55,65.45,3599.75,2004-11-24,4,S18_1889,"Australian Collectors, Co.",Medium
10363-7,22,100,3686.54,2005-01-06,1,S18_1889,Suominen Souveniers,Medium
10377-4,31,67.76,2100.56,2005-02-09,1,S18_1889,"Toys of Finland, Co.",Small
10389-3,49,79.22,3881.78,2005-03-03,1,S18_1889,Scandinavian Gift Ideas,Medium
10405-4,61,73.92,4509.12,2005-04-14,2,S18_1889,Mini Caravy,Medium
10419-9,39,83.93,3273.27,2005-05-17,2,S18_1889,Salzburg Collectables,Medium
10109-3,38,100,4432.7,2003-03-10,1,S18_1984,Motor Mint Distributors Inc.,Medium
10122-1,31,100,4100.99,2003-05-08,2,S18_1984,Marseille Mini Autos,Medium
10136-1,36,100,5274.72,2003-07-04,3,S18_1984,Alpha Cognac,Medium
10148-12,25,100,4232,2003-09-11,3,S18_1984,"Anna's Decorations, Ltd",Medium
10161-11,48,100,6145.44,2003-10-17,4,S18_1984,Heintze Collectables,Medium
10171-1,35,100,4680.2,2003-11-05,4,S18_1984,Quebec Home Shopping Network,Medium
10181-5,21,100,3286.08,2003-11-12,4,S18_1984,Herkku Gifts,Medium
10192-10,47,100,7421.3,2003-11-20,4,S18_1984,Online Diecast Creations Co.,Large
10204-16,38,100,6432.64,2003-12-02,4,S18_1984,Muscle Machine Inc,Medium
10212-9,41,100,4840.87,2004-01-16,1,S18_1984,Euro Shopping Channel,Medium
10226-7,24,100,3892.08,2004-02-26,1,S18_1984,Collectable Mini Designs Co.,Medium
10240-2,37,100,5526.32,2004-04-13,2,S18_1984,Osaka Souveniers Co.,Medium
10253-4,33,100,4459.62,2004-06-01,2,S18_1984,"UK Collectables, Ltd.",Medium
10266-5,49,100,6203.4,2004-07-06,3,S18_1984,L'ordine Souveniers,Medium
10278-5,29,100,3754.05,2004-08-06,3,S18_1984,Signal Gift Stores,Medium
10287-3,24,100,3516.48,2004-08-30,3,S18_1984,"Vida Sport, Ltd",Medium
10301-7,47,100,7488.04,2003-10-05,4,S18_1984,"Norway Gifts By Mail, Co.",Large
10310-1,24,100,3448.08,2004-10-16,4,S18_1984,"Toms Spezialitten, Ltd",Medium
10321-9,25,100,3734,2004-11-04,4,S18_1984,FunGiftIdeas.com,Medium
10331-8,30,32.47,974.1,2004-11-17,4,S18_1984,Motor Mint Distributors Inc.,Small
10342-3,22,100,3160.74,2004-11-24,4,S18_1984,"Australian Collectors, Co.",Medium
10356-2,27,64.69,1746.63,2004-12-09,4,S18_1984,Lyon Souveniers,Small
10366-3,34,100,4207.84,2005-01-10,1,S18_1984,Royale Belge,Medium
10377-6,36,100,4352.76,2005-02-09,1,S18_1984,"Toys of Finland, Co.",Medium
10390-15,34,43.05,1463.7,2005-03-04,1,S18_1984,Mini Gifts Distributors Ltd.,Small
10406-2,48,100,7169.28,2005-04-15,2,S18_1984,Danish Wholesale Imports,Large
10419-4,34,100,4594.76,2005-05-17,2,S18_1984,Salzburg Collectables,Medium
10104-8,24,100,3457.92,2003-01-31,1,S18_2238,Euro Shopping Channel,Medium
10115-4,46,100,7381.16,2003-04-04,2,S18_2238,Classic Legends Inc.,Large
10127-10,45,100,7146.9,2003-06-03,2,S18_2238,Muscle Machine Inc,Large
10141-4,39,100,5938.53,2003-08-01,3,S18_2238,Suominen Souveniers,Medium
10151-2,43,100,7110.91,2003-09-21,3,S18_2238,"Oulu Toy Supplies, Inc.",Large
10165-11,29,100,5032.95,2003-10-22,4,S18_2238,"Dragon Souveniers, Ltd.",Medium
10176-10,20,100,3667.6,2003-11-06,4,S18_2238,L'ordine Souveniers,Medium
10184-5,46,100,7381.16,2003-11-14,4,S18_2238,"Iberia Gift Imports, Corp.",Large
10195-5,27,100,5128.11,2003-11-25,4,S18_2238,Mini Classics,Medium
10207-6,44,100,7060.24,2003-12-09,4,S18_2238,Diecast Collectables,Large
10219-1,43,100,8448.64,2004-02-10,1,S18_2238,Signal Collectibles Ltd.,Large
10230-8,49,100,7300.51,2004-03-15,1,S18_2238,"Blauer See Auto, Co.",Large
10246-4,40,100,6549.2,2004-05-05,2,S18_2238,Euro Shopping Channel,Medium
10259-3,30,100,5697.9,2004-06-15,2,S18_2238,Handji Gifts& Co,Medium
10271-4,50,100,9169,2004-07-20,3,S18_2238,Mini Gifts Distributors Ltd.,Large
10282-13,23,100,3238.63,2004-08-20,3,S18_2238,Mini Gifts Distributors Ltd.,Medium
10292-7,26,100,4554.94,2004-09-08,3,S18_2238,Land of Toys Inc.,Medium
10305-4,27,100,3934.44,2004-10-13,4,S18_2238,Marta's Replicas Co.,Medium
10314-13,42,100,5776.26,2004-10-22,4,S18_2238,Heintze Collectables,Medium
10324-8,47,100,7207.45,2004-11-05,4,S18_2238,Vitachrome Inc.,Large
10336-6,49,100,7460.74,2004-11-20,4,S18_2238,"La Corne D'abondance, Co.",Large
10349-8,38,100,6719.54,2004-12-01,4,S18_2238,Muscle Machine Inc,Medium
10358-10,20,100,2428,2004-12-10,4,S18_2238,Euro Shopping Channel,Small
10371-7,25,100,2602.25,2005-01-23,1,S18_2238,Mini Gifts Distributors Ltd.,Small
10382-5,25,88,2200,2005-02-17,1,S18_2238,Mini Gifts Distributors Ltd.,Small
10412-4,41,100,6712.93,2005-05-03,2,S18_2238,Euro Shopping Channel,Medium
10425-3,28,100,5318.04,2005-05-31,2,S18_2238,La Rochelle Gifts,Medium
10100-2,50,67.8,3390,2003-01-06,1,S18_2248,Online Diecast Creations Co.,Medium
10110-6,32,50.25,1608,2003-03-18,1,S18_2248,"AV Stores, Co.",Small
10124-5,42,53.88,2262.96,2003-05-21,2,S18_2248,Signal Gift Stores,Small
10149-10,24,62.36,1496.64,2003-09-12,3,S18_2248,Signal Collectibles Ltd.,Small
10162-8,27,69.62,1879.74,2003-10-18,4,S18_2248,Corporate Gift Ideas Co.,Small
10173-12,26,57.51,1495.26,2003-11-05,4,S18_2248,Rovelli Gifts,Small
10182-9,38,61.15,2323.7,2003-11-12,4,S18_2248,Mini Gifts Distributors Ltd.,Small
10193-13,42,59.33,2491.86,2003-11-21,4,S18_2248,"Australian Collectables, Ltd",Small
10204-3,23,71.44,1643.12,2003-12-02,4,S18_2248,Muscle Machine Inc,Small
10214-6,21,62.96,1322.16,2004-01-26,1,S18_2248,"Corrida Auto Replicas, Ltd",Small
10227-9,28,50.85,1423.8,2004-03-02,1,S18_2248,"Saveley & Henriot, Co.",Small
10241-1,33,72.65,2397.45,2004-04-13,2,S18_2248,Mini Caravy,Small
10280-15,25,62.96,1574,2004-08-17,3,S18_2248,Amica Models & Co.,Small
10288-4,28,61.75,1729,2004-09-01,3,S18_2248,Handji Gifts& Co,Small
10303-2,46,49.04,2255.84,2004-10-06,4,S18_2248,"Iberia Gift Imports, Corp.",Small
10312-16,30,61.15,1834.5,2004-10-21,4,S18_2248,Mini Gifts Distributors Ltd.,Small
10332-9,38,84.25,3201.5,2004-11-17,4,S18_2248,"AV Stores, Co.",Medium
10344-2,40,56.91,2276.4,2004-11-25,4,S18_2248,Marseille Mini Autos,Small
10367-4,45,100,8884.8,2005-01-12,1,S18_2248,Toys4GrownUps.com,Large
10379-1,27,49.3,1331.1,2005-02-10,1,S18_2248,Euro Shopping Channel,Small
10407-1,42,72.65,3051.3,2005-04-22,2,S18_2248,The Sharp Gifts Warehouse,Medium
10420-4,36,63.57,2288.52,2005-05-29,2,S18_2248,Souveniers And Things Co.,Small
10104-12,29,100,3772.61,2003-01-31,1,S18_2319,Euro Shopping Channel,Medium
10114-3,39,100,4164.42,2003-04-01,2,S18_2319,"La Corne D'abondance, Co.",Medium
10127-14,45,100,6295.95,2003-06-03,2,S18_2319,Muscle Machine Inc,Medium
10141-8,47,100,6287.66,2003-08-01,3,S18_2319,Suominen Souveniers,Medium
10151-6,49,100,5412.54,2003-09-21,3,S18_2319,"Oulu Toy Supplies, Inc.",Medium
10165-15,46,100,5984.14,2003-10-22,4,S18_2319,"Dragon Souveniers, Ltd.",Medium
10175-4,48,100,5891.04,2003-11-06,4,S18_2319,"Stylish Desk Decors, Co.",Medium
10184-9,46,100,5984.14,2003-11-14,4,S18_2319,"Iberia Gift Imports, Corp.",Medium
10195-9,35,100,3608.15,2003-11-25,4,S18_2319,Mini Classics,Medium
10207-10,43,100,5752.54,2003-12-09,4,S18_2319,Diecast Collectables,Medium
10229-4,26,100,3765.32,2004-03-11,1,S18_2319,Mini Gifts Distributors Ltd.,Medium
10246-8,22,98.18,2159.96,2004-05-05,2,S18_2319,Euro Shopping Channel,Small
10259-7,34,99.41,3379.94,2004-06-15,2,S18_2319,Handji Gifts& Co,Medium
10271-8,50,100,5093.5,2004-07-20,3,S18_2319,Mini Gifts Distributors Ltd.,Medium
10281-4,48,100,5773.44,2004-08-19,3,S18_2319,Diecast Classics Inc.,Medium
10292-11,41,100,4528.86,2004-09-08,3,S18_2319,Land of Toys Inc.,Medium
10305-8,36,100,4816.08,2004-10-13,4,S18_2319,Marta's Replicas Co.,Medium
10313-2,29,100,3416.78,2004-10-22,4,S18_2319,Canadian Gift Exchange Network,Medium
10324-10,33,37.48,1236.84,2004-11-05,4,S18_2319,Vitachrome Inc.,Small
10334-6,46,100,5814.86,2004-11-19,4,S18_2319,"Volvo Model Replicas, Co",Medium
10349-7,38,100,5223.48,2004-12-01,4,S18_2319,Muscle Machine Inc,Medium
10358-11,20,36.42,728.4,2004-12-10,4,S18_2319,Euro Shopping Channel,Small
10370-5,22,100,3949,2005-01-20,1,S18_2319,"Anna's Decorations, Ltd",Medium
10383-11,27,100,3843.99,2005-02-22,1,S18_2319,Euro Shopping Channel,Medium
10412-8,56,98.18,5498.08,2005-05-03,2,S18_2319,Euro Shopping Channel,Medium
10425-7,38,99.41,3777.58,2005-05-31,2,S18_2319,La Rochelle Gifts,Medium
10101-4,25,100,3782,2003-01-09,1,S18_2325,"Blauer See Auto, Co.",Medium
10110-4,33,100,3859.68,2003-03-18,1,S18_2325,"AV Stores, Co.",Medium
10124-3,42,100,4431.84,2003-05-21,2,S18_2325,Signal Gift Stores,Medium
10149-8,33,100,4950.33,2003-09-12,3,S18_2325,Signal Collectibles Ltd.,Medium
10162-6,38,100,4299.7,2003-10-18,4,S18_2325,Corporate Gift Ideas Co.,Medium
10173-10,31,100,4492.83,2003-11-05,4,S18_2325,Rovelli Gifts,Medium
10182-7,20,100,2212,2003-11-12,4,S18_2325,Mini Gifts Distributors Ltd.,Small
10193-11,44,100,4642.88,2003-11-21,4,S18_2325,"Australian Collectables, Ltd",Medium
10204-1,26,100,3206.32,2003-12-02,4,S18_2325,Muscle Machine Inc,Medium
10214-4,27,100,3604.23,2004-01-26,1,S18_2325,"Corrida Auto Replicas, Ltd",Medium
10227-7,46,100,7017.76,2004-03-02,1,S18_2325,"Saveley & Henriot, Co.",Large
10243-2,47,100,6154.18,2004-04-26,2,S18_2325,Diecast Collectables,Medium
10280-13,37,100,4750.8,2004-08-17,3,S18_2325,Amica Models & Co.,Medium
10288-2,31,100,3822.92,2004-09-01,3,S18_2325,Handji Gifts& Co,Medium
10304-17,24,100,2440.8,2004-10-11,4,S18_2325,Auto Assoc. & Cie.,Small
10312-14,31,100,4729.36,2004-10-21,4,S18_2325,Mini Gifts Distributors Ltd.,Medium
10322-6,50,100,12536.5,2004-11-04,4,S18_2325,Online Diecast Creations Co.,Large
10332-8,35,64.69,2264.15,2004-11-17,4,S18_2325,"AV Stores, Co.",Small
10344-3,30,100,3928.2,2004-11-25,4,S18_2325,Marseille Mini Autos,Medium
10356-3,29,100,3630.22,2004-12-09,4,S18_2325,Lyon Souveniers,Medium
10367-5,27,100,4196.07,2005-01-12,1,S18_2325,Toys4GrownUps.com,Medium
10380-10,40,100,4931.6,2005-02-16,1,S18_2325,Euro Shopping Channel,Medium
10390-16,31,98.99,3068.69,2005-03-04,1,S18_2325,Mini Gifts Distributors Ltd.,Medium
10409-2,6,100,785.64,2005-04-23,2,S18_2325,Handji Gifts& Co,Small
10420-2,45,100,4977,2005-05-29,2,S18_2325,Souveniers And Things Co.,Medium
10103-2,22,54.09,1189.98,2003-01-29,1,S18_2432,Baane Mini Imports,Small
10114-6,45,68.67,3090.15,2003-04-01,2,S18_2432,"La Corne D'abondance, Co.",Medium
10126-2,43,65.02,2795.86,2003-05-28,2,S18_2432,"Corrida Auto Replicas, Ltd",Small
10140-2,46,61.99,2851.54,2003-07-24,3,S18_2432,Technics Stores Inc.,Small
10151-9,39,69.28,2701.92,2003-09-21,3,S18_2432,"Oulu Toy Supplies, Inc.",Small
10165-18,31,71.1,2204.1,2003-10-22,4,S18_2432,"Dragon Souveniers, Ltd.",Small
10175-7,41,69.28,2840.48,2003-11-06,4,S18_2432,"Stylish Desk Decors, Co.",Small
10184-12,44,60.16,2647.04,2003-11-14,4,S18_2432,"Iberia Gift Imports, Corp.",Small
10194-2,45,70.49,3172.05,2003-11-25,4,S18_2432,"Saveley & Henriot, Co.",Medium
10207-13,37,69.89,2585.93,2003-12-09,4,S18_2432,Diecast Collectables,Small
10217-2,35,61.38,2148.3,2004-02-04,1,S18_2432,Handji Gifts& Co,Small
10229-7,28,59.55,1667.4,2004-03-11,1,S18_2432,Mini Gifts Distributors Ltd.,Small
10246-11,30,61.99,1859.7,2004-05-05,2,S18_2432,Euro Shopping Channel,Small
10259-10,30,49.22,1476.6,2004-06-15,2,S18_2432,Handji Gifts& Co,Small
10271-11,25,69.28,1732,2004-07-20,3,S18_2432,Mini Gifts Distributors Ltd.,Small
10281-7,29,57.73,1674.17,2004-08-19,3,S18_2432,Diecast Classics Inc.,Small
10291-2,26,57.73,1500.98,2004-09-08,3,S18_2432,Scandinavian Gift Ideas,Small
10305-11,41,53.48,2192.68,2004-10-13,4,S18_2432,Marta's Replicas Co.,Small
10313-5,34,52.87,1797.58,2004-10-22,4,S18_2432,Canadian Gift Exchange Network,Small
10322-11,35,61.21,2142.35,2004-11-04,4,S18_2432,Online Diecast Creations Co.,Small
10334-1,34,61.38,2086.92,2004-11-19,4,S18_2432,"Volvo Model Replicas, Co",Small
10347-8,50,100,6834.5,2004-11-29,4,S18_2432,"Australian Collectors, Co.",Medium
10357-7,41,61.99,2541.59,2004-12-10,4,S18_2432,Mini Gifts Distributors Ltd.,Small
10370-7,22,96.86,2130.92,2005-01-20,1,S18_2432,"Anna's Decorations, Ltd",Small
10381-7,35,48.62,1701.7,2005-02-17,1,S18_2432,Corporate Gift Ideas Co.,Small
10391-5,44,38.5,1694,2005-03-09,1,S18_2432,"Anna's Decorations, Ltd",Small
10412-11,47,61.99,2913.53,2005-05-03,2,S18_2432,Euro Shopping Channel,Small
10425-10,19,49.22,935.18,2005-05-31,2,S18_2432,La Rochelle Gifts,Small
10106-2,34,90.39,3073.26,2003-02-17,1,S18_2581,Rovelli Gifts,Medium
10120-8,29,71.81,2082.49,2003-04-29,2,S18_2581,"Australian Collectors, Co.",Small
10133-3,49,69.27,3394.23,2003-06-27,2,S18_2581,Euro Shopping Channel,Medium
10145-14,30,85.32,2559.6,2003-08-25,3,S18_2581,Toys4GrownUps.com,Small
10168-9,21,70.96,1490.16,2003-10-28,4,S18_2581,Technics Stores Inc.,Small
10210-7,50,76.88,3844,2004-01-12,1,S18_2581,Osaka Souveniers Co.,Medium
10223-9,47,100,4724.91,2004-02-20,1,S18_2581,"Australian Collectors, Co.",Medium
10235-3,24,76.03,1824.72,2004-04-02,2,S18_2581,"Royal Canadian Collectables, Ltd.",Small
10250-4,27,98.84,2668.68,2004-05-11,2,S18_2581,The Sharp Gifts Warehouse,Small
10263-10,33,86.17,2843.61,2004-06-28,2,S18_2581,Gift Depot Inc.,Small
10275-9,35,90.39,3163.65,2004-07-23,3,S18_2581,La Rochelle Gifts,Medium
10284-1,31,71.81,2226.11,2004-08-21,3,S18_2581,"Norway Gifts By Mail, Co.",Small
10297-4,25,82.79,2069.75,2004-09-16,3,S18_2581,"Clover Collections, Co.",Small
10308-7,27,82.79,2235.33,2004-10-15,4,S18_2581,Mini Classics,Small
10318-9,31,100,3116.43,2004-11-02,4,S18_2581,Diecast Classics Inc.,Medium
10327-8,45,100,4781.7,2004-11-10,4,S18_2581,Danish Wholesale Imports,Medium
10339-2,27,100,2810.7,2004-11-23,4,S18_2581,"Tokyo Collectables, Ltd",Small
10353-1,27,100,3515.67,2004-12-04,4,S18_2581,Gift Ideas Corp.,Medium
10374-2,42,69.27,2909.34,2005-02-02,1,S18_2581,"Australian Gift Network, Co",Small
10386-18,21,74.77,1570.17,2005-03-01,1,S18_2581,Euro Shopping Channel,Small
10398-15,34,76.88,2613.92,2005-03-30,1,S18_2581,Reims Collectables,Small
10401-3,42,76.03,3193.26,2005-04-03,2,S18_2581,Tekni Collectables Inc.,Medium
10416-4,15,98.84,1482.6,2005-05-10,2,S18_2581,L'ordine Souveniers,Small
10107-6,29,70.87,2055.23,2003-02-24,1,S18_2625,Land of Toys Inc.,Small
10120-4,46,58.15,2674.9,2003-04-29,2,S18_2625,"Australian Collectors, Co.",Small
10134-6,30,61.78,1853.4,2003-07-01,3,S18_2625,Lyon Souveniers,Small
10145-10,30,49.67,1490.1,2003-08-25,3,S18_2625,Toys4GrownUps.com,Small
10159-18,42,51.48,2162.16,2003-10-10,4,S18_2625,Corporate Gift Ideas Co.,Small
10168-5,46,61.18,2814.28,2003-10-28,4,S18_2625,Technics Stores Inc.,Small
10180-13,25,64.2,1605,2003-11-11,4,S18_2625,Daedalus Designs Imports,Small
10188-5,32,65.42,2093.44,2003-11-18,4,S18_2625,Herkku Gifts,Small
10201-6,30,64.81,1944.3,2003-12-01,4,S18_2625,Mini Wheels Co.,Small
10210-3,40,49.67,1986.8,2004-01-12,1,S18_2625,Osaka Souveniers Co.,Small
10223-5,28,60.57,1695.96,2004-02-20,1,S18_2625,"Australian Collectors, Co.",Small
10236-2,23,55.72,1281.56,2004-04-03,2,S18_2625,Motor Mint Distributors Inc.,Small
10251-6,29,61.18,1774.22,2004-05-18,2,S18_2625,Tekni Collectables Inc.,Small
10263-6,34,58.75,1997.5,2004-06-28,2,S18_2625,Gift Depot Inc.,Small
10275-5,37,63.6,2353.2,2004-07-23,3,S18_2625,La Rochelle Gifts,Small
10285-10,20,49.06,981.2,2004-08-27,3,S18_2625,Marta's Replicas Co.,Small
10298-2,32,48.46,1550.72,2004-09-27,3,S18_2625,Atelier graphique,Small
10308-3,34,52.09,1771.06,2004-10-15,4,S18_2625,Mini Classics,Small
10318-5,42,52.7,2213.4,2004-11-02,4,S18_2625,Diecast Classics Inc.,Small
10329-12,38,100,5266.04,2004-11-15,4,S18_2625,Land of Toys Inc.,Medium
10339-1,30,62.16,1864.8,2004-11-23,4,S18_2625,"Tokyo Collectables, Ltd",Small
10362-3,23,49.67,1142.41,2005-01-05,1,S18_2625,Technics Stores Inc.,Small
10374-4,22,53.3,1172.6,2005-02-02,1,S18_2625,"Australian Gift Network, Co",Small
10389-5,39,100,6981,2005-03-03,1,S18_2625,Scandinavian Gift Ideas,Medium
10402-2,55,55.72,3064.6,2005-04-07,2,S18_2625,Auto Canal Petit,Medium
10417-6,36,61.18,2202.48,2005-05-13,2,S18_2625,Euro Shopping Channel,Small
10101-1,26,100,3773.38,2003-01-09,1,S18_2795,"Blauer See Auto, Co.",Medium
10110-1,31,100,5074.39,2003-03-18,1,S18_2795,"AV Stores, Co.",Medium
10125-2,34,100,6483.46,2003-05-21,2,S18_2795,"Australian Collectors, Co.",Medium
10139-8,41,100,7956.46,2003-07-16,3,S18_2795,Souveniers And Things Co.,Large
10149-5,23,100,4230.62,2003-09-12,3,S18_2795,Signal Collectibles Ltd.,Medium
10162-3,48,100,7209.12,2003-10-18,4,S18_2795,Corporate Gift Ideas Co.,Large
10173-7,22,100,3452.68,2003-11-05,4,S18_2795,Rovelli Gifts,Medium
10182-4,21,100,3047.73,2003-11-12,4,S18_2795,Mini Gifts Distributors Ltd.,Medium
10193-8,22,100,3675.32,2003-11-21,4,S18_2795,"Australian Collectables, Ltd",Medium
10205-3,40,100,7492.4,2003-12-03,4,S18_2795,Euro Shopping Channel,Large
10214-1,50,100,9534.5,2004-01-26,1,S18_2795,"Corrida Auto Replicas, Ltd",Large
10227-4,29,100,5579.02,2004-03-02,1,S18_2795,"Saveley & Henriot, Co.",Medium
10244-8,43,100,5950.34,2004-04-29,2,S18_2795,Euro Shopping Channel,Medium
10255-1,24,100,3726,2004-06-04,2,S18_2795,Mini Caravy,Medium
10280-10,22,100,4455,2004-08-17,3,S18_2795,Amica Models & Co.,Medium
10289-3,43,100,8272.34,2004-09-03,3,S18_2795,Herkku Gifts,Large
10304-14,20,100,3577.6,2004-10-11,4,S18_2795,Auto Assoc. & Cie.,Medium
10312-11,25,100,3881.25,2004-10-21,4,S18_2795,Mini Gifts Distributors Ltd.,Medium
10322-2,36,100,5797.44,2004-11-04,4,S18_2795,Online Diecast Creations Co.,Medium
10332-1,24,52.67,1264.08,2004-11-17,4,S18_2795,"AV Stores, Co.",Small
10347-6,21,100,4815.3,2004-11-29,4,S18_2795,"Australian Collectors, Co.",Medium
10356-1,30,100,4462.2,2004-12-09,4,S18_2795,Lyon Souveniers,Medium
10367-7,32,94.79,3033.28,2005-01-12,1,S18_2795,Toys4GrownUps.com,Medium
10380-8,21,47.18,990.78,2005-02-16,1,S18_2795,Euro Shopping Channel,Small
10390-7,26,78.11,2030.86,2005-03-04,1,S18_2795,Mini Gifts Distributors Ltd.,Small
10421-1,35,100,5433.75,2005-05-29,2,S18_2795,Mini Gifts Distributors Ltd.,Medium
10109-1,26,100,3157.44,2003-03-10,1,S18_2870,Motor Mint Distributors Inc.,Medium
10123-3,46,100,5161.2,2003-05-20,2,S18_2870,Atelier graphique,Medium
10137-3,37,100,4346.76,2003-07-10,3,S18_2870,Reims Collectables,Medium
10148-10,27,100,3528.36,2003-09-11,3,S18_2870,"Anna's Decorations, Ltd",Medium
10161-9,23,100,3187.8,2003-10-17,4,S18_2870,Heintze Collectables,Medium
10172-7,39,100,6023.16,2003-11-05,4,S18_2870,Gift Depot Inc.,Medium
10181-3,27,100,3884.76,2003-11-12,4,S18_2870,Herkku Gifts,Medium
10192-8,38,100,4965.84,2003-11-20,4,S18_2870,Online Diecast Creations Co.,Medium
10204-14,27,100,4169.88,2003-12-02,4,S18_2870,Muscle Machine Inc,Medium
10212-7,40,100,4910.4,2004-01-16,1,S18_2870,Euro Shopping Channel,Medium
10226-5,24,100,3231.36,2004-02-26,1,S18_2870,Collectable Mini Designs Co.,Medium
10241-12,44,100,6853.44,2004-04-13,2,S18_2870,Mini Caravy,Medium
10253-2,37,100,5177.04,2004-06-01,2,S18_2870,"UK Collectables, Ltd.",Medium
10266-3,20,100,2824.8,2004-07-06,3,S18_2870,L'ordine Souveniers,Small
10278-3,39,100,4324.32,2004-08-06,3,S18_2870,Signal Gift Stores,Medium
10287-1,44,100,5052.96,2004-08-30,3,S18_2870,"Vida Sport, Ltd",Medium
10301-5,22,100,3223.44,2003-10-05,4,S18_2870,"Norway Gifts By Mail, Co.",Medium
10311-10,43,100,5278.68,2004-10-16,4,S18_2870,Euro Shopping Channel,Medium
10321-7,27,100,2851.2,2004-11-04,4,S18_2870,FunGiftIdeas.com,Small
10331-10,26,64.9,1687.4,2004-11-17,4,S18_2870,Motor Mint Distributors Inc.,Small
10343-3,25,52.32,1308,2004-11-24,4,S18_2870,Reims Collectables,Small
10366-2,49,100,6144.6,2005-01-10,1,S18_2870,Royale Belge,Medium
10379-5,29,100,5127.2,2005-02-10,1,S18_2870,Euro Shopping Channel,Medium
10407-12,41,100,6386.16,2005-04-22,2,S18_2870,The Sharp Gifts Warehouse,Medium
10419-2,55,100,7695.6,2005-05-17,2,S18_2870,Salzburg Collectables,Large
10103-12,27,83.07,2242.89,2003-01-29,1,S18_2949,Baane Mini Imports,Small
10112-2,23,100,2539.89,2003-03-24,1,S18_2949,"Volvo Model Replicas, Co",Small
10126-12,31,90.17,2795.27,2003-05-28,2,S18_2949,"Corrida Auto Replicas, Ltd",Small
10139-1,46,100,5545.76,2003-07-16,3,S18_2949,Souveniers And Things Co.,Medium
10150-9,47,91.18,4285.46,2003-09-19,3,S18_2949,"Dragon Souveniers, Ltd.",Medium
10163-2,31,100,3329.09,2003-10-20,4,S18_2949,Classic Legends Inc.,Medium
10174-5,46,100,5592.22,2003-11-06,4,S18_2949,"Australian Gift Network, Co",Medium
10183-9,37,89.15,3298.55,2003-11-13,4,S18_2949,"Classic Gift Ideas, Inc",Medium
10193-1,28,93.21,2609.88,2003-11-21,4,S18_2949,"Australian Collectables, Ltd",Small
10206-7,37,90.17,3336.29,2003-12-05,4,S18_2949,Canadian Gift Exchange Network,Medium
10215-4,49,100,5510.05,2004-01-29,1,S18_2949,West Coast Collectables Co.,Medium
10228-3,24,100,2504.4,2004-03-10,1,S18_2949,Cambridge Collectables Co.,Small
10244-1,30,100,3525.6,2004-04-29,2,S18_2949,Euro Shopping Channel,Medium
10257-1,50,88.14,4407,2004-06-14,2,S18_2949,The Sharp Gifts Warehouse,Medium
10270-10,31,96.24,2983.44,2004-07-19,3,S18_2949,Souveniers And Things Co.,Small
10280-3,46,100,5126.24,2004-08-17,3,S18_2949,Amica Models & Co.,Medium
10291-12,47,100,5713.79,2004-09-08,3,S18_2949,Scandinavian Gift Ideas,Medium
10304-7,46,100,4613.8,2004-10-11,4,S18_2949,Auto Assoc. & Cie.,Medium
10312-4,37,100,3711.1,2004-10-21,4,S18_2949,Mini Gifts Distributors Ltd.,Medium
10322-12,33,100,3524.73,2004-11-04,4,S18_2949,Online Diecast Creations Co.,Medium
10333-5,31,90.17,2795.27,2004-11-18,4,S18_2949,Mini Wheels Co.,Small
10347-9,48,100,4814.4,2004-11-29,4,S18_2949,"Australian Collectors, Co.",Medium
10357-6,41,87.13,3572.33,2004-12-10,4,S18_2949,Mini Gifts Distributors Ltd.,Medium
10369-1,42,100,4581.36,2005-01-20,1,S18_2949,Collectables For Less Inc.,Medium
10381-8,41,100,4319.76,2005-02-17,1,S18_2949,Corporate Gift Ideas Co.,Medium
10391-6,32,45.25,1448,2005-03-09,1,S18_2949,"Anna's Decorations, Ltd",Small
10423-1,10,88.14,881.4,2005-05-30,2,S18_2949,Petit Auto,Small
10103-14,35,57.46,2011.1,2003-01-29,1,S18_2957,Baane Mini Imports,Small
10111-2,28,64.33,1801.24,2003-03-25,1,S18_2957,Mini Wheels Co.,Small
10126-14,46,73.7,3390.2,2003-05-28,2,S18_2957,"Corrida Auto Replicas, Ltd",Medium
10139-3,20,71.2,1424,2003-07-16,3,S18_2957,Souveniers And Things Co.,Small
10150-11,30,49.97,1499.1,2003-09-19,3,S18_2957,"Dragon Souveniers, Ltd.",Small
10163-4,48,69.96,3358.08,2003-10-20,4,S18_2957,Classic Legends Inc.,Medium
10173-2,28,53.72,1504.16,2003-11-05,4,S18_2957,Rovelli Gifts,Small
10183-11,39,68.08,2655.12,2003-11-13,4,S18_2957,"Classic Gift Ideas, Inc",Small
10193-3,24,51.84,1244.16,2003-11-21,4,S18_2957,"Australian Collectables, Ltd",Small
10206-9,28,67.46,1888.88,2003-12-05,4,S18_2957,Canadian Gift Exchange Network,Small
